,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
227,1192,1239,ei-6.3 (sn3y),pittaja-vruddhih,pittaja-vṛddhiḥ,पित्तज-वृद्धिः,,,,ITA-5.45.3,"Hydrocoele due to
pitta predominance","A disorder characterized by fever; swelling resembling ripe fig
fruit or udumbara; severe burning sensation; rapid
suppuration; pain of pitta type-ośa coṣa; excessive
moistness/soddening.",pittaja-vṛddhiḥ,वप्तज-र्ृवद्ः
228,1193,1240,ei-6.4 (sn3y),kapaja-vruddhih,kaphaja-vṛddhiḥ,कफज-वृद्धिः,,,,ITA-5.45.4,"Hydrocoele due to
kapha predominance","A disorder characterized by being associated with a burning
sensation; swelling with itching; hard swelling; unctuous
swelling; dull aching pain; cold swelling.",kaphaja-vṛddhiḥ,्कफज-र्ृवद्ः
229,1194,1241,ei-6.5 (sn0y),raktaja-vruddhih,raktaja-vṛddhiḥ,रक्तज-वृद्धिः,,,,ITA-5.45.5,"Hydrocoele due to
predominance of
vitiated blood","A disorder characterized by heavy swelling of scrotum
accompanied by copious whitish dense discharge.",raktaja-vṛddhiḥ,ि्तज-र्ृवद्ः
230,1195,1242,ei-6.6 (sn0y),medoja-vruddhih,medoja-vṛddhiḥ,मेदोज-वृद्धिः,,,,ITA-5.45.6,"Hydrocoele due to
predominance of
vitiated fat","A disorder characterized by clinical features of all types of
dosha; cracking of penile skin; appearance of kṛmi; scrotal
oedema; severe pain; undergoing rapid suppuration.",medoja-vṛddhiḥ,मेदोज-र्ृवद्ः
231,1196,1243,ei-6.7 (sn0y),mutraja-vruddhih,mūtraja-vṛddhiḥ,मूत्रज-वृद्धिः,,,,ITA-5.45.7,"Hydrocoele due to
predominance of
vitiated urine","A disorder characterized by discharges of various colours;
pain of different types; death; black blisters; severe bleeding;
features of the pittaja variety.",mūtraja-vṛddhiḥ,मूरिज-र्ृवद्ः
232,1201,1248,sm8c (ej-2),asmari,aśmarī,अश्मरी,,"it is characterised by pain in loins and groin, difficulty in micturition, burning micturition. this may be explained by: (a) vatadosha drying up the kapha in the urinary tract.",,ITA-5.40.1,Urinary calculus,"A disorder characterized by some or all the following signs
and symptoms: obstructed passage of urine; pain in urinary
bladder region or basti; pain in perineal raphe; penile pain;
scattering of urinary stream/split-stream urination; rubbing of
penis due to pain; frequent passing of stools; frequent
urination; passage of urine mixed with blood; pain in umbilical
region; severe pain; urine resembling gomedaka stone/pale
yellow; excessively turbid urine; gravel in urine; headache;
comfortable passage of clear urine when stone is evacuated.",aśmarī,अशमिी
233,1203,1250,ej-2.2 (sm8c),vataja-asmari,vātaja-aśmarī,वातज-अश्मरी,,,,ITA-5.40.3,"Urinary calculus due
to vitiated vatadosha","A disorder characterized by some or all the following signs
and symptoms: a stone resembling kadamba flower
(Anthocephalus cadamba) with pocket-like shapes;
obstruction to passage of urine; severe pain; gnashing/
grinding teeth; squeezing umbilical region; due to excess
breaking pain, internal burning sensation person keeps
touching genitalia and anal region; difficulty in passing flatus;
difficulty in passing urine; difficulty in passing faeces;
excessive passage of flatus; excessive passage of urine;
excessive passage of faeces; blackish stone; rough stone;
irregular-shaped stone; rough calculus; stone covered with
thorn; sudden onset of pain; shivering/tremors; constant
groaning in agony; faeces expelled along with flatus; dropwise
passage of urine.",vātaja-aśmarī,र्ातज-अशमिी
234,1204,1251,ej-2.3 (sm8c),pittaja-asmari,pittaja-aśmarī,पित्तज-अश्मरी,,,,ITA-5.40.4,"Urinary calculus due
to vitiated pitta","A disorder characterized by some or all the following signs
and symptoms: obstruction to passage of urine; burning
sensation in urinary bladder as if near a fire; sucking type of
pain in urinary bladder or basti; burning sensation in the
urinary bladder; bladder feels as if burnt by alkali; clinical
features of the disease uṣṇavāta; blood associated with
stone; yellowish stone; black-coloured stone; stone shaped
like bhallātakāsthi (seed of Semecarpus anacardium); honey-
coloured stone; burning sensation in the bladder as if being
cooked; red-coloured calculus.",pittaja-aśmarī,वप्तज-अशमिी
235,1205,1252,ej-2.4 (sm8c),kapaja-asmari,kaphaja-aśmarī,कफज-अश्मरी,,,,ITA-5.40.5,"Urinary calculus due
to vitiated kapha","A disorder characterized by some or all the following signs
and symptoms: obstruction to passage of urine;
disintegrating/cracking sensation in bladder; penetrating/
perforating sensation in bladder; pinprick-like sensation in
vesical region; heaviness of bladder; coldness of bladder;
white-coloured stone; stone unctuous to touch; large stone;
stone resembling chicken egg; stone colour resembling
madhūkapuṣpa; honey-coloured stone; glossy stone.",kaphaja-aśmarī,्कफज-अशमिी
236,1206,1253,ej-2.5 (sm8c),sukrasmari,śukrāśmarī,शुक्राश्मरी,,,,ITA-5.40.6,"Urinary calculus due
to crystallization
of semen","A disorder characterized by some or all the following signs
and symptoms: dysuria; pain in urinary bladder or basti;
swelling of scrotum; disappearing with passage of semen.",śukrāśmarī,शुरिाशमिी
237,1211,1258,sm82 (ej-3),mutraghatah,mūtrāghātaḥ,मूत्राघातः,,"it is characterised by obstruction or retention in passage of urine, dribbling of urine, may be associated with pain, burning sensation in bladder, abdominal region. this may be explained by: (a) aggravation of vata affecting bladder leading to laxity and retention of urine.",,ITA-5.39.10,Urinary retention,,mūtrāghātaḥ,मूरिाघातः
238,1212,1259,sm89 (ej-3.1),mutraukasadah,mūtraukasādaḥ,मूत्रौकसादः,,"it is characterised by passing of thick urine. this may be explained by: (a) vitiation of kaphadosha, vatadosha.",,ITA-5.39.21,"Scanty urination with
viscid, dense urine","A disorder characterized by some or all the following signs
and symptoms: passage of urine with blood; passage of
viscid urine; burning sensation while urinating; passage of
whitish urine; passage of dense urine; difficult and burning
micturition; yellow-coloured urine; conch shell-coloured urine.",mūtraukasādaḥ,मूरिौ्कसादः
239,1215,1262,ej-3.2 (sm82),mutrajatharah,mūtrajaṭharaḥ,मूत्रजठरः,,,,ITA-5.39.14,"Bladder atony with
lower abdominal
distension","A disorder characterized by some or all the following signs
and symptoms: abdominal enlargement due to full bladder;
indigestion; obstruction to passage of urine/retention; faecal
retention; abdominal distension below the umbilicus; severe
pain below umbilicus; obstruction to urinary and faecal
channels bladder outlet obstruction.",mūtrajaṭharaḥ,मूरिजििः
240,1216,1263,ej-3.3 (sm88),mutrotsa~ggah,mūtrotsaṅgaḥ,मूत्रोत्सङ्गः,,,,ITA-5.39.15,Urethral stricture,"A disorder characterized by some or all the following signs
and symptoms: urine obstruction at bulb of penis; later
painless micturition; later painful micturition; split-stream
urination; heaviness in penis; urine remains in bladder; urine
remains in penile urethra; urine remains in bulb of penile
urethra; urine with blood; straining to urinate; dribbling in
small quantities on straining; scanty dropwise urination.",mūtrotsaṅgaḥ,मूरिोतसङगः
241,1218,1265,ej-3.5 (sm88),mutratitah,mūtrātītaḥ,मूत्रातीतः,,,,ITA-5.39.17,Urinary incontinence,"A disorder characterized by some or all the following signs
and symptoms: urinary hesitancy; weak urine flow; difficulty in
passing urine/anuria; occasional passage of urine; mild pain
during micturition; scanty micturition; increased frequency of
micturition; difficulty in passing urine.",mūtrātītaḥ,मूरिातीतः
242,1220,1267,sm8b (ej-3.7),vatabastih,vātabastiḥ,वातबस्तिः,,"it is characterised by involuntary flow of urine. this may be explained by: (a) vitiation of vata, excess pitta affecting urinary bladder.",,ITA-5.39.13,"Bladder neck
obstruction with
retention of urine","A disorder characterized by some or all the following signs
and symptoms: obstruction to passage of urine/retention;
pain; itching; pain in abdomen/flanks; pain in urinary
bladder or basti.",vātabastiḥ,र्ातबवसतः
243,1224,1271,sn09 (ej-3.11),mutrasukrah,mūtraśukraḥ,मूत्रशुक्रः,,it is characterised by abnormal uncontrolled emission of semen with erotic thoughts or during passing of urine. this may be explained by: (a) vitiated vata pushing semen along with urine.,,ITA-5.39.19,Semenuria,"A disorder characterized by some or all the following signs
and symptoms: urine mixed with semen; discharge of semen
while voiding urine; passage of urine that looks like it is mixed
with ash at beginning or end of micturition; discharge of fluid
resembling ash water.",mūtraśukraḥ,मूरिशुरिः
244,1225,1272,ej-3.12 (sm52),vid-vighatah,viḍ-vighātaḥ,विड्-विघातः,,,,ITA-5.39.22,"Passage of urine
mixed with faecal
matter","A disorder characterized by passage of urine smelling of
faeces; difficult micturition.",viḍ-vighātaḥ,वर्््-वर्घातः
245,1231,1278,sm87 (ej-4),mutrakruccram,mūtrakṛcchram,मूत्रकृच्छ्रम्,,"it is characterised by painful micturtion. this may be explained by: (a) vitiated pittadosha, vatadosa causing erosion in urethral.",,ITA-5.39.1,Difficulty in urination,,mūtrakṛcchram,मूरि्कृ्छ्रम्
246,1278,1326,ek-4.2 (sm32),vataja-udararogah,vātaja-udararogaḥ,वातज-उदररोगः,,,,ITA-5.43.2,"Abdominal enlarge-
ment due to vitiated
vata","A disorder characterized by some or all the following signs
and symptoms: abdominal oedema; oedema in hands;
oedema in legs; cracking of abdominal skin; fluctuating
abdominal oedema; pain in abdomen; pain in sides of chest/
flanks; upward movement of vāta; generalized body aches;
breaking type of pain in small joints; dry cough; emaciation;
weakness; loss of taste; indigestion; heaviness in lower
abdomen; suppression of flatus; obstruction to elimination of
urine; retention of faeces/constipation; blackish nails; blackish
eyes; blackish face; blackish urine; blackish skin; blackish
faeces; slightly reddish nails; slightly reddish eyes; slightly
reddish face; slightly reddish urine; slightly reddish skin;
slightly reddish faeces; thin veins spread across the
abdomen; blackish veins spread across the abdomen;
abdomen on percussion sounds like a distended leather bag;
upward movement of vayu with pain; downward movement of
vayu with pain; random movement of vayu with pain; upward
movement of vayu with sound; downward movement of vayu
with sound; random movement of vayu with sound; scrotal
oedema; low back pain; pricking type of pain in abdomen;
breaking type of pain in abdomen; in side of chests/flanks;in
back; in umbilical region; blackish veins spread on painful
distended abdomen with abdominal sounds.",vātaja-udararogaḥ,र्ातज-उदििोगः
247,1279,1327,ek-4.3 (sm32),pittaja-udararogah,pittaja-udararogaḥ,पित्तज-उदररोगः,,,,ITA-5.43.3,"Abdominal enlarge-
ment due to vitiated
pitta","A disorder characterized by some or all the following signs
and symptoms: a burning sensation; fever; thirst; syncope or
swooning; diarrhoea; giddiness or dizziness; pungent taste in
mouth; greenish discoloration of nails; greenish eyes;
greenish discoloration of face; greenish discoloration of urine;
greenish discoloration of skin; greenish discoloration of
faeces; yellowish discoloration of nails; yellowish discoloration
of eyes; yellowish discoloration of face; yellowish
discoloration of urine; yellowish discoloration of skin;
yellowish discoloration of faeces; bluish veins over abdomen;
yellowish veins over abdomen; turmeric-coloured veins over
abdomen; greenish veins over abdomen; coppery-coloured
veins over abdomen; burning sensation over abdomen;
smoky sensation in abdomen; pain in abdomen; burning
sensation in abdomen; resembling fomentation of abdomen;
wetness of abdomen; soft to touch; quickly leading to ascites
or jalodara; sucking type of pain; associated with thirst;
associated with fever; associated with burning sensation;
quickly increasing in size; pungent taste in mouth.",pittaja-udararogaḥ,वप्तज-उदििोगः
248,1280,1328,ek-4.4 (sm32),kapaja-udararogah,kaphaja-udararogaḥ,कफज-उदररोगः,,,,ITA-5.43.4,"Abdominal enlarge-
ment due to vitiated
kapha","A disorder characterized by some or all the following signs
and symptoms: numbness; heaviness; loss of taste;
indigestion; generalized body aches; oedema/swelling in
hands; oedema/swelling in legs; scrotal oedema; swelling in
thighs; nausea/provocation of dosha; sleep; breathlessness/
difficulty in breathing; cough; white discoloration of nails;
white discoloration of eyes; white discoloration of body; white
discoloration of urine; white discoloration of faeces; whitish-
coloured veins spread across the abdomen; abdominal area
cold to touch; heaviness of abdomen; steady swelling;
unctuous in nature; huge swelling; with body pain; increasing
over a long time; generalized oedema; feeling of being
wrapped in a wet cloth; smooth to touch; huge swelling;
hard swelling.",kaphaja-udararogaḥ,्कफज-उदििोगः
